-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         5.13%     766.841us        99.90%      14.937ms      14.937ms          -4 b      -2.26 Mb             1  
                     aten::linear         0.09%      13.324us        54.51%       8.151ms       2.717ms      35.91 Kb           0 b             3  
                      aten::addmm        54.10%       8.089ms        54.28%       8.116ms       2.705ms      35.91 Kb      35.91 Kb             3  
                     aten::conv2d         0.11%      16.570us        30.27%       4.526ms     905.142us       1.85 Mb           0 b             5  
                aten::convolution         0.12%      17.523us        30.16%       4.509ms     901.828us       1.85 Mb           0 b             5  
               aten::_convolution         0.21%      30.752us        30.04%       4.492ms     898.324us       1.85 Mb           0 b             5  
         aten::mkldnn_convolution        29.72%       4.444ms        29.83%       4.461ms     892.173us       1.85 Mb           0 b             5  
                 aten::max_pool2d         0.08%      12.019us         9.13%       1.365ms     455.090us     345.00 Kb    -690.00 Kb             3  
    aten::max_pool2d_with_indices         8.97%       1.341ms         9.05%       1.353ms     451.083us       1.01 Mb           0 b             3  
                      aten::relu_         0.15%      23.134us         0.65%      97.671us      13.953us           0 b           0 b             7  
                 aten::threshold_         0.50%      74.537us         0.50%      74.537us      10.648us           0 b           0 b             7  
                      aten::empty         0.17%      25.782us         0.17%      25.782us       1.517us       1.85 Mb       1.85 Mb            17  
                          aten::t         0.08%      11.262us         0.15%      21.903us       7.301us           0 b           0 b             3  
                      aten::copy_         0.12%      17.705us         0.12%      17.705us       5.902us           0 b           0 b             3  
        aten::adaptive_avg_pool2d         0.02%       2.374us         0.12%      17.486us      17.486us      36.00 Kb           0 b             1  
       aten::_adaptive_avg_pool2d         0.09%      13.030us         0.10%      15.112us      15.112us      36.00 Kb           0 b             1  
                      aten::zeros         0.06%       9.056us         0.10%      14.880us      14.880us           4 b           0 b             1  
                  aten::transpose         0.05%       7.138us         0.07%      10.641us       3.547us           0 b           0 b             3  
                    aten::resize_         0.07%      10.404us         0.07%      10.404us       1.486us       1.05 Mb       1.05 Mb             7  
                    aten::flatten         0.02%       3.644us         0.06%       9.499us       9.499us           0 b           0 b             1  
