-- SIMPLIFIED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         3.85%     709.568us        99.89%      18.420ms      18.420ms          -4 b      -2.10 Mb             1  
                     aten::linear         0.21%      38.040us        51.08%       9.419ms       3.140ms      35.91 Kb           0 b             3  
                      aten::addmm        50.35%       9.285ms        50.59%       9.329ms       3.110ms      35.91 Kb      35.91 Kb             3  
                     aten::conv2d         0.13%      23.170us        31.64%       5.834ms       1.167ms     947.25 Kb           0 b             5  
                aten::convolution         0.15%      27.549us        31.51%       5.810ms       1.162ms     947.25 Kb           0 b             5  
               aten::_convolution         0.45%      82.760us        31.36%       5.783ms       1.157ms     947.25 Kb           0 b             5  
       aten::_convolution_nogroup         0.43%      78.660us        17.29%       3.189ms       3.189ms     126.75 Kb           0 b             1  
                aten::thnn_conv2d         0.22%      41.219us        16.85%       3.108ms       3.108ms     126.75 Kb    -570.38 Kb             1  
        aten::thnn_conv2d_forward         1.71%     314.879us        16.63%       3.067ms       3.067ms     697.12 Kb           0 b             1  
                     aten::addmm_        14.76%       2.722ms        14.76%       2.722ms       2.722ms           0 b           0 b             1  
         aten::mkldnn_convolution        13.53%       2.494ms        13.62%       2.511ms     627.807us     820.50 Kb           0 b             4  
                 aten::max_pool2d         0.08%      15.099us         8.51%       1.570ms     523.228us     172.50 Kb    -345.00 Kb             3  
    aten::max_pool2d_with_indices         8.35%       1.539ms         8.43%       1.555ms     518.195us     517.50 Kb           0 b             3  
                    aten::dropout         0.19%      35.580us         2.26%     416.868us     208.434us      34.00 Kb     -34.00 Kb             2  
                 aten::bernoulli_         1.34%     247.598us         1.34%     247.598us     123.799us           0 b           0 b             2  
                        aten::add         1.31%     240.987us         1.31%     240.987us      48.197us     947.25 Kb     947.25 Kb             5  
                      aten::relu_         0.24%      43.490us         0.67%     123.860us      17.694us           0 b           0 b             7  
        aten::adaptive_avg_pool2d         0.02%       3.480us         0.50%      91.380us      91.380us      18.00 Kb           0 b             1  
       aten::_adaptive_avg_pool2d         0.46%      85.140us         0.48%      87.900us      87.900us      18.00 Kb           0 b             1  
                       aten::div_         0.27%      49.180us         0.47%      86.060us      43.030us           0 b          -8 b             2  
                 aten::threshold_         0.44%      80.370us         0.44%      80.370us      11.481us           0 b           0 b             7  
                          aten::t         0.16%      29.740us         0.29%      52.580us      17.527us           0 b           0 b             3  
                      aten::empty         0.23%      42.440us         0.23%      42.440us       1.845us     888.52 Kb     888.52 Kb            23  
                      aten::copy_         0.21%      39.460us         0.21%      39.460us       7.892us           0 b           0 b             5  
                         aten::to         0.09%      17.430us         0.20%      36.880us      18.440us           8 b           0 b             2  
                        aten::mul         0.13%      23.800us         0.15%      27.300us      13.650us      34.00 Kb           0 b             2  
                  aten::transpose         0.08%      15.300us         0.12%      22.840us       7.613us           0 b           0 b             3  
                 aten::empty_like         0.07%      12.090us         0.11%      20.330us      10.165us      34.00 Kb           0 b             2  
                      aten::zeros         0.07%      12.360us         0.11%      19.960us      19.960us           4 b           0 b             1  
                    aten::resize_         0.09%      16.890us         0.09%      16.890us       1.877us       1.20 Mb       1.20 Mb             9  
                     aten::expand         0.06%      11.500us         0.08%      13.960us       4.653us           0 b           0 b             3  
                 aten::as_strided         0.07%      13.660us         0.07%      13.660us       1.366us           0 b           0 b            10  
                     aten::select         0.05%      10.140us         0.07%      12.940us       4.313us           0 b           0 b             3  
                       aten::view         0.07%      12.850us         0.07%      12.850us       4.283us           0 b           0 b             3  
                    aten::flatten         0.02%       3.620us         0.07%      12.790us      12.790us           0 b           0 b             1  
              aten::empty_strided         0.03%       5.970us         0.03%       5.970us       2.985us           8 b           8 b             2  
                aten::as_strided_         0.02%       4.579us         0.02%       4.579us       1.145us           0 b           0 b             4  
                    aten::reshape         0.02%       3.550us         0.02%       4.440us       4.440us           0 b           0 b             1  
                  aten::unsqueeze         0.02%       3.230us         0.02%       4.090us       4.090us           0 b           0 b             1  
          aten::_nnpack_available         0.01%       2.340us         0.01%       2.340us       2.340us           0 b           0 b             1  
                      aten::zero_         0.01%       1.900us         0.01%       1.900us       1.900us           0 b           0 b             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 18.440ms
