-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference        10.13%       9.005ms        99.99%      88.845ms      88.845ms          -4 b    -153.78 Mb             1  
                     aten::conv2d         0.56%     498.757us        59.92%      53.240ms     316.904us      27.85 Mb           0 b           168  
                aten::convolution         0.50%     440.991us        59.36%      52.741ms     313.935us      27.85 Mb           0 b           168  
               aten::_convolution         0.92%     818.324us        58.86%      52.300ms     311.310us      27.85 Mb           0 b           168  
       aten::_convolution_nogroup         0.42%     373.029us        48.18%      42.810ms     365.898us      20.58 Mb           0 b           117  
                aten::thnn_conv2d         0.33%     293.936us        47.70%      42.388ms     362.289us      20.58 Mb      -6.89 Mb           117  
        aten::thnn_conv2d_forward         4.81%       4.270ms        47.37%      42.094ms     359.777us      27.47 Mb           0 b           117  
                         aten::mm        38.73%      34.418ms        38.73%      34.418ms     404.921us           0 b           0 b            85  
                        aten::cat         0.43%     382.309us        12.39%      11.012ms     128.049us      51.90 Mb           0 b            86  
                       aten::_cat         6.50%       5.778ms        11.96%      10.630ms     123.604us      51.90 Mb           0 b            86  
                 aten::batch_norm         0.44%     387.739us        11.18%       9.936ms      58.795us      72.57 Mb           0 b           169  
     aten::_batch_norm_impl_index         0.92%     814.008us        10.75%       9.549ms      56.500us      72.57 Mb           0 b           169  
         aten::mkldnn_convolution         9.53%       8.466ms         9.76%       8.672ms     170.032us       7.27 Mb           0 b            51  
          aten::native_batch_norm         8.14%       7.237ms         9.70%       8.622ms      51.017us      72.57 Mb    -618.75 Kb           169  
                     aten::narrow         1.22%       1.088ms         5.07%       4.502ms       3.631us           0 b           0 b          1240  
                      aten::slice         2.85%       2.530ms         3.84%       3.414ms       2.753us           0 b           0 b          1240  
                 aten::max_pool2d         0.01%       5.554us         3.58%       3.178ms       3.178ms     784.00 Kb      -1.53 Mb             1  
    aten::max_pool2d_with_indices         3.56%       3.165ms         3.57%       3.173ms       3.173ms       2.30 Mb           0 b             1  
                      aten::relu_         0.47%     418.395us         2.12%       1.888ms      11.173us           0 b           0 b           169  
