-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         7.24%       3.213ms        99.97%      44.395ms      44.395ms          -4 b     -36.46 Mb             1  
                     aten::conv2d         0.43%     189.406us        43.33%      19.243ms     337.604us      12.31 Mb           0 b            57  
                aten::convolution         0.41%     182.294us        42.91%      19.054ms     334.281us      12.31 Mb           0 b            57  
               aten::_convolution         0.75%     331.970us        42.50%      18.872ms     331.083us      12.31 Mb           0 b            57  
                 aten::max_pool2d         0.16%      72.935us        40.89%      18.158ms       1.397ms       5.41 Mb     -10.81 Mb            13  
    aten::max_pool2d_with_indices        40.55%      18.008ms        40.73%      18.085ms       1.391ms      16.22 Mb           0 b            13  
       aten::_convolution_nogroup         0.39%     175.403us        27.55%      12.235ms     254.895us       4.89 Mb           0 b            48  
                aten::thnn_conv2d         0.32%     141.917us        27.12%      12.042ms     250.871us       4.89 Mb      -2.66 Mb            48  
        aten::thnn_conv2d_forward         3.62%       1.609ms        26.80%      11.900ms     247.915us       7.55 Mb           0 b            48  
                         aten::mm        15.61%       6.930ms        15.61%       6.930ms     187.305us           0 b           0 b            37  
         aten::mkldnn_convolution        14.03%       6.231ms        14.20%       6.305ms     700.533us       7.42 Mb           0 b             9  
                     aten::addmm_         5.35%       2.377ms         5.35%       2.377ms     216.134us           0 b           0 b            11  
                 aten::batch_norm         0.25%     111.237us         4.82%       2.141ms      37.554us      12.31 Mb           0 b            57  
     aten::_batch_norm_impl_index         0.49%     215.780us         4.57%       2.029ms      35.602us      12.31 Mb           0 b            57  
          aten::native_batch_norm         2.76%       1.226ms         4.00%       1.775ms      31.135us      12.31 Mb     -56.88 Kb            57  
                        aten::cat         0.09%      41.748us         1.50%     665.349us      66.535us       5.29 Mb           0 b            10  
                       aten::_cat         1.02%     452.637us         1.40%     623.601us      62.360us       5.29 Mb           0 b            10  
                 aten::empty_like         0.55%     242.604us         1.24%     548.714us       3.209us      12.36 Mb           0 b           171  
                      aten::empty         1.14%     508.341us         1.14%     508.341us       1.199us      20.36 Mb      20.36 Mb           424  
