-- PRUNED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         4.84%       5.456ms        99.98%     112.720ms     112.720ms         444 b     -34.75 Mb             1  
                     aten::conv2d         0.21%     239.449us        51.97%      58.589ms       1.028ms      12.31 Mb           0 b            57  
                aten::convolution         0.23%     259.237us        51.76%      58.350ms       1.024ms      12.31 Mb           0 b            57  
               aten::_convolution         0.34%     384.289us        51.53%      58.090ms       1.019ms      12.31 Mb           0 b            57  
       aten::_convolution_nogroup         0.20%     223.950us        45.88%      51.723ms       1.078ms       4.89 Mb           0 b            48  
                aten::thnn_conv2d         0.16%     176.560us        45.66%      51.476ms       1.072ms       4.89 Mb      -2.66 Mb            48  
        aten::thnn_conv2d_forward         3.70%       4.172ms        45.50%      51.299ms       1.069ms       7.55 Mb           0 b            48  
                         aten::mm        30.06%      33.892ms        30.06%      33.892ms     916.006us           0 b           0 b            37  
                 aten::max_pool2d         0.07%      75.180us        29.41%      33.152ms       2.550ms       5.41 Mb     -10.81 Mb            13  
    aten::max_pool2d_with_indices        29.25%      32.972ms        29.34%      33.076ms       2.544ms      16.22 Mb           0 b            13  
                     aten::addmm_        10.66%      12.013ms        10.66%      12.013ms       1.092ms           0 b           0 b            11  
                 aten::batch_norm         0.27%     300.565us         9.21%      10.380ms     182.097us      12.31 Mb     -56.88 Kb            57  
     aten::_batch_norm_impl_index         0.29%     322.588us         8.94%      10.079ms     176.824us      12.36 Mb           0 b            57  
          aten::native_batch_norm         4.89%       5.516ms         8.61%       9.708ms     170.310us      12.36 Mb           0 b            57  
         aten::mkldnn_convolution         5.27%       5.936ms         5.31%       5.983ms     664.737us       7.42 Mb           0 b             9  
                     aten::select         2.70%       3.042ms         3.61%       4.073ms       6.116us           0 b           0 b           666  
                        aten::cat         0.07%      83.970us         2.06%       2.326ms     258.405us       4.71 Mb           0 b             9  
                       aten::_cat         1.67%       1.887ms         1.99%       2.242ms     249.075us       4.71 Mb           0 b             9  
                      aten::relu_         0.20%     220.050us         1.59%       1.790ms      31.397us           0 b           0 b            57  
                 aten::threshold_         1.39%       1.570ms         1.39%       1.570ms      27.536us           0 b           0 b            57  
                 aten::as_strided         0.97%       1.092ms         0.97%       1.092ms       1.452us           0 b           0 b           752  
                      aten::empty         0.78%     879.607us         0.78%     879.607us       2.084us      19.79 Mb      19.79 Mb           422  
                 aten::empty_like         0.13%     144.460us         0.38%     432.380us       7.455us      12.31 Mb           0 b            58  
                        aten::add         0.29%     326.060us         0.29%     326.060us       5.720us         456 b         456 b            57  
                     aten::linear         0.01%      11.910us         0.28%     310.879us     310.879us       3.91 Kb           0 b             1  
                      aten::addmm         0.25%     276.589us         0.25%     285.759us     285.759us       3.91 Kb       3.91 Kb             1  
                    aten::resize_         0.25%     284.327us         0.25%     284.327us       3.025us      28.49 Mb      28.49 Mb            94  
        aten::adaptive_avg_pool2d         0.05%      54.610us         0.24%     269.089us     269.089us       4.00 Kb           0 b             1  
                       aten::view         0.20%     226.280us         0.20%     226.280us       1.088us           0 b           0 b           208  
                       aten::mean         0.05%      51.330us         0.19%     214.479us     214.479us       4.00 Kb           0 b             1  
                     aten::narrow         0.08%      94.860us         0.19%     209.629us       5.823us           0 b           0 b            36  
                    aten::reshape         0.08%      86.129us         0.12%     135.479us       2.822us           0 b           0 b            48  
                  aten::unsqueeze         0.09%     100.130us         0.12%     133.600us       2.783us           0 b           0 b            48  
                        aten::sum         0.07%      79.349us         0.11%     122.849us     122.849us       4.00 Kb           0 b             1  
                      aten::slice         0.08%      89.599us         0.10%     114.769us       3.188us           0 b           0 b            36  
                    aten::dropout         0.01%      12.870us         0.10%     110.890us     110.890us       4.00 Kb      -4.00 Kb             1  
                       aten::div_         0.03%      29.020us         0.05%      55.790us      27.895us           0 b          -8 b             2  
                        aten::mul         0.01%       8.000us         0.04%      50.160us      50.160us       4.00 Kb           0 b             1  
                         aten::to         0.01%      12.430us         0.02%      26.770us      13.385us           8 b           0 b             2  
                 aten::bernoulli_         0.02%      26.550us         0.02%      26.550us      26.550us           0 b           0 b             1  
          aten::_nnpack_available         0.02%      23.740us         0.02%      23.740us       0.495us           0 b           0 b            48  
                     aten::detach         0.02%      21.130us         0.02%      21.130us       0.571us           0 b           0 b            37  
                      aten::zeros         0.01%      14.970us         0.02%      20.010us      20.010us           4 b           0 b             1  
                      aten::copy_         0.01%      14.070us         0.01%      14.070us       4.690us           0 b           0 b             3  
                          aten::t         0.01%       9.260us         0.01%      13.210us      13.210us           0 b           0 b             1  
                    aten::flatten         0.00%       3.410us         0.01%       9.360us       9.360us           0 b           0 b             1  
                aten::as_strided_         0.01%       8.830us         0.01%       8.830us       0.981us           0 b           0 b             9  
                      aten::fill_         0.00%       4.820us         0.00%       4.820us       4.820us           0 b           0 b             1  
              aten::empty_strided         0.00%       4.580us         0.00%       4.580us       2.290us           8 b           8 b             2  
                     aten::expand         0.00%       3.240us         0.00%       4.000us       4.000us           0 b           0 b             1  
                  aten::transpose         0.00%       2.340us         0.00%       3.950us       3.950us           0 b           0 b             1  
                      aten::zero_         0.00%       1.320us         0.00%       1.320us       1.320us           0 b           0 b             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 112.740ms
