-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         8.61%       4.652ms        99.98%      53.990ms      53.990ms          -4 b     -47.26 Mb             1  
                     aten::conv2d         0.75%     405.740us        67.93%      36.684ms     390.260us      17.73 Mb           0 b            94  
                aten::convolution         0.48%     256.943us        67.18%      36.279ms     385.944us      17.73 Mb           0 b            94  
               aten::_convolution         1.00%     542.600us        66.71%      36.022ms     383.210us      17.73 Mb           0 b            94  
       aten::_convolution_nogroup         0.35%     187.255us        40.05%      21.629ms     386.235us       5.56 Mb           0 b            56  
                aten::thnn_conv2d         0.32%     171.173us        39.66%      21.419ms     382.487us       5.56 Mb      -4.60 Mb            56  
        aten::thnn_conv2d_forward         4.32%       2.335ms        39.35%      21.248ms     379.431us      10.16 Mb           0 b            56  
         aten::mkldnn_convolution        25.13%      13.568ms        25.65%      13.850ms     364.473us      12.18 Mb           0 b            38  
                         aten::mm        21.52%      11.620ms        21.52%      11.620ms     290.507us           0 b           0 b            40  
                     aten::addmm_        11.52%       6.223ms        11.52%       6.223ms     388.917us           0 b           0 b            16  
                 aten::max_pool2d         0.04%      20.005us        10.36%       5.595ms       1.399ms       1.40 Mb      -2.80 Mb             4  
    aten::max_pool2d_with_indices        10.25%       5.537ms        10.32%       5.575ms       1.394ms       4.20 Mb           0 b             4  
                 aten::batch_norm         0.34%     185.176us         6.75%       3.645ms      38.773us      17.73 Mb           0 b            94  
     aten::_batch_norm_impl_index         0.62%     332.239us         6.41%       3.460ms      36.803us      17.73 Mb           0 b            94  
          aten::native_batch_norm         3.72%       2.009ms         5.67%       3.061ms      32.567us      17.73 Mb    -134.50 Kb            94  
                 aten::avg_pool2d         2.22%       1.199ms         2.29%       1.236ms     137.343us       3.76 Mb           0 b             9  
                      aten::empty         2.02%       1.090ms         2.02%       1.090ms       1.753us      30.62 Mb      30.62 Mb           622  
                 aten::empty_like         0.73%     391.965us         1.95%       1.052ms       3.731us      17.86 Mb           0 b           282  
                      aten::relu_         0.50%     271.907us         1.56%     843.509us       8.973us           0 b           0 b            94  
