-- THRESHOLDED --
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 model_inference         0.86%       4.934ms       100.00%     575.311ms     575.311ms          -4 b     -57.59 Mb             1  
                    aten::conv2d         0.03%     188.933us        98.21%     565.040ms      10.866ms      28.05 Mb           0 b            52  
               aten::convolution         0.03%     157.196us        98.18%     564.851ms      10.863ms      28.05 Mb           0 b            52  
              aten::_convolution         8.23%      47.371ms        98.15%     564.694ms      10.860ms      28.05 Mb      -7.93 Mb            52  
      aten::_convolution_nogroup         4.34%      24.961ms        62.35%     358.704ms      34.405us      24.22 Mb           0 b         10426  
               aten::thnn_conv2d         3.59%      20.656ms        57.47%     330.661ms      31.715us      24.22 Mb    -126.65 Mb         10426  
       aten::thnn_conv2d_forward        28.20%     162.236ms        53.88%     310.006ms      29.734us     150.87 Mb           0 b         10426  
                    aten::narrow        12.21%      70.242ms        26.69%     153.556ms       7.382us           0 b           0 b         20800  
                     aten::slice         8.53%      49.095ms        14.48%      83.314ms       4.005us           0 b           0 b         20800  
                aten::as_strided         8.77%      50.461ms         8.77%      50.461ms       0.807us           0 b           0 b         62507  
                    aten::select         6.61%      38.052ms         8.73%      50.207ms       1.605us           0 b           0 b         31278  
                   aten::resize_         3.79%      21.827ms         3.79%      21.827ms       1.048us     158.80 Mb     158.80 Mb         20834  
                   aten::reshape         2.05%      11.785ms         3.09%      17.758ms       1.703us           0 b           0 b         10426  
                 aten::unsqueeze         1.97%      11.310ms         2.68%      15.394ms       1.476us           0 b           0 b         10426  
                      aten::view         2.41%      13.851ms         2.41%      13.851ms       0.661us           0 b           0 b         20954  
                    aten::addmm_         2.30%      13.256ms         2.30%      13.256ms       1.276us           0 b           0 b         10392  
                     aten::empty         2.12%      12.203ms         2.12%      12.203ms       0.387us      32.07 Mb      32.07 Mb         31508  
                        aten::mm         1.69%       9.713ms         1.69%       9.713ms     285.688us           0 b           0 b            34  
                aten::batch_norm         0.06%     328.546us         0.71%       4.109ms      79.013us      28.05 Mb           0 b            52  
                       aten::cat         0.13%     755.624us         0.66%       3.815ms     238.428us       7.93 Mb           0 b            16  
    aten::_batch_norm_impl_index         0.07%     419.218us         0.66%       3.780ms      72.695us      28.05 Mb           0 b            52  
         aten::native_batch_norm         0.48%       2.771ms         0.58%       3.319ms      63.820us      28.05 Mb    -190.69 Kb            52  
         aten::_nnpack_available         0.54%       3.082ms         0.54%       3.082ms       0.296us           0 b           0 b         10426  
                      aten::_cat         0.51%       2.929ms         0.53%       3.059ms     191.202us       7.93 Mb           0 b            16  
        aten::mkldnn_convolution         0.22%       1.272ms         0.23%       1.298ms     649.041us       3.83 Mb           0 b             2  
                     aten::relu_         0.03%     153.888us         0.12%     666.012us      19.029us           0 b           0 b            35  
                aten::empty_like         0.04%     219.475us         0.10%     547.236us       3.508us      28.23 Mb           0 b           156  
                aten::threshold_         0.09%     512.124us         0.09%     512.124us      14.632us           0 b           0 b            35  
                    aten::linear         0.00%       6.213us         0.05%     290.918us     290.918us       3.91 Kb           0 b             1  
                     aten::addmm         0.05%     270.283us         0.05%     276.753us     276.753us       3.91 Kb       3.91 Kb             1  
                       aten::add         0.04%     208.534us         0.04%     208.534us      20.853us       1.49 Mb       1.49 Mb            10  
                      aten::mean         0.00%       5.837us         0.01%      61.056us      61.056us       5.00 Kb           0 b             1  
                      aten::div_         0.00%      17.852us         0.01%      29.330us      29.330us           0 b          -4 b             1  
                       aten::sum         0.00%      18.280us         0.00%      25.889us      25.889us       5.00 Kb           0 b             1  
                    aten::detach         0.00%      14.114us         0.00%      14.114us       0.415us           0 b           0 b            34  
                        aten::to         0.00%       4.356us         0.00%      11.478us      11.478us           4 b           0 b             1  
                     aten::zeros         0.00%       7.132us         0.00%      10.861us      10.861us           4 b           0 b             1  
                     aten::copy_         0.00%       9.058us         0.00%       9.058us       4.529us           0 b           0 b             2  
                         aten::t         0.00%       4.799us         0.00%       7.952us       7.952us           0 b           0 b             1  
                     aten::fill_         0.00%       3.573us         0.00%       3.573us       3.573us           0 b           0 b             1  
                 aten::transpose         0.00%       1.883us         0.00%       3.153us       3.153us           0 b           0 b             1  
                    aten::expand         0.00%       1.949us         0.00%       2.487us       2.487us           0 b           0 b             1  
               aten::as_strided_         0.00%       1.977us         0.00%       1.977us       0.988us           0 b           0 b             2  
             aten::empty_strided         0.00%       1.493us         0.00%       1.493us       1.493us           4 b           4 b             1  
                  aten::dropout_         0.00%       0.870us         0.00%       0.870us       0.870us           0 b           0 b             1  
                     aten::zero_         0.00%       0.869us         0.00%       0.869us       0.869us           0 b           0 b             1  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 575.322ms
