-- THRESHOLDED --
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 model_inference         0.86%       3.099ms       100.00%     361.482ms     361.482ms          -4 b     -51.78 Mb             1  
                    aten::conv2d         0.05%     190.306us        97.52%     352.518ms       6.779ms      25.47 Mb           0 b            52  
               aten::convolution         0.05%     164.806us        97.46%     352.328ms       6.776ms      25.47 Mb           0 b            52  
              aten::_convolution         6.45%      23.323ms        97.42%     352.163ms       6.772ms      25.47 Mb      -7.25 Mb            52  
      aten::_convolution_nogroup         5.48%      19.818ms        72.48%     262.023ms      36.708us      22.41 Mb           0 b          7138  
               aten::thnn_conv2d         3.97%      14.351ms        66.48%     240.318ms      33.667us      22.41 Mb     -65.25 Mb          7138  
       aten::thnn_conv2d_forward        28.84%     104.272ms        62.51%     225.967ms      31.657us      87.66 Mb           0 b          7138  
                    aten::narrow         6.78%      24.501ms        17.50%      63.243ms       4.447us           0 b           0 b         14223  
                    aten::select        14.62%      52.850ms        16.90%      61.101ms       2.853us           0 b           0 b         21414  
                     aten::slice         9.02%      32.597ms        10.72%      38.742ms       2.724us           0 b           0 b         14223  
                aten::as_strided         4.74%      17.117ms         4.74%      17.117ms       0.400us           0 b           0 b         42777  
                   aten::resize_         3.40%      12.290ms         3.40%      12.290ms       0.862us      94.91 Mb      94.91 Mb         14258  
                   aten::reshape         2.16%       7.797ms         3.25%      11.732ms       1.643us           0 b           0 b          7139  
                 aten::unsqueeze         2.38%       8.621ms         3.14%      11.341ms       1.589us           0 b           0 b          7138  
                     aten::empty         2.35%       8.510ms         2.35%       8.510ms       0.393us      28.67 Mb      28.67 Mb         21644  
                    aten::addmm_         2.30%       8.323ms         2.30%       8.323ms       1.172us           0 b           0 b          7104  
                      aten::view         2.19%       7.919ms         2.19%       7.919ms       0.551us           0 b           0 b         14379  
                        aten::mm         1.53%       5.531ms         1.53%       5.531ms     162.683us           0 b           0 b            34  
                aten::batch_norm         0.04%     132.979us         1.28%       4.644ms      89.300us      25.47 Mb           0 b            52  
