-- THRESHOLDED --
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 model_inference         1.33%       3.541ms       100.00%     266.689ms     266.689ms          -4 b     -35.89 Mb             1  
                    aten::conv2d         0.09%     229.788us        96.71%     257.924ms       4.160ms      16.80 Mb           0 b            62  
               aten::convolution         0.09%     240.864us        96.62%     257.694ms       4.156ms      16.80 Mb           0 b            62  
              aten::_convolution         5.95%      15.863ms        96.53%     257.453ms       4.152ms      16.80 Mb      -3.32 Mb            62  
      aten::_convolution_nogroup         4.14%      11.050ms        75.20%     200.564ms      45.438us      14.08 Mb           0 b          4414  
               aten::thnn_conv2d         3.48%       9.268ms        70.59%     188.277ms      42.654us      14.08 Mb     -52.56 Mb          4414  
       aten::thnn_conv2d_forward        41.80%     111.485ms        67.12%     179.008ms      40.555us      66.64 Mb           0 b          4414  
                    aten::narrow         3.14%       8.376ms        14.01%      37.353ms       4.271us           0 b           0 b          8746  
                     aten::slice         9.44%      25.167ms        10.86%      28.977ms       3.313us           0 b           0 b          8746  
                    aten::select         6.51%      17.372ms         8.81%      23.501ms       1.775us           0 b           0 b         13242  
                aten::as_strided         4.43%      11.822ms         4.43%      11.822ms       0.447us           0 b           0 b         26438  
                 aten::unsqueeze         2.66%       7.082ms         3.36%       8.963ms       2.016us           0 b           0 b          4446  
                   aten::resize_         3.18%       8.483ms         3.18%       8.483ms       0.965us      69.96 Mb      69.96 Mb          8792  
                   aten::reshape         2.03%       5.401ms         3.03%       8.069ms       1.828us           0 b           0 b          4414  
                    aten::addmm_         2.32%       6.183ms         2.32%       6.183ms       1.410us           0 b           0 b          4384  
                     aten::empty         2.28%       6.070ms         2.28%       6.070ms       0.451us      21.90 Mb      21.90 Mb         13463  
                      aten::view         2.05%       5.473ms         2.05%       5.473ms       0.610us           0 b           0 b          8967  
                        aten::mm         1.63%       4.343ms         1.63%       4.343ms     144.765us           0 b           0 b            30  
                aten::batch_norm         0.05%     143.810us         1.25%       3.335ms      72.496us      16.78 Mb           0 b            46  
