-- THRESHOLDED --
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 model_inference         1.84%       2.573ms        99.99%     139.720ms     139.720ms          -4 b     -11.90 Mb             1  
                    aten::conv2d         0.13%     185.032us        96.00%     134.143ms       2.580ms       5.40 Mb           0 b            52  
               aten::convolution         0.12%     161.715us        95.87%     133.958ms       2.576ms       5.40 Mb           0 b            52  
              aten::_convolution         6.39%       8.927ms        95.75%     133.796ms       2.573ms       5.40 Mb      -1.11 Mb            52  
      aten::_convolution_nogroup         4.53%       6.326ms        74.59%     104.232ms      43.575us       4.18 Mb           0 b          2392  
               aten::thnn_conv2d         3.65%       5.100ms        69.63%      97.289ms      40.672us       4.18 Mb     -24.37 Mb          2392  
       aten::thnn_conv2d_forward        30.87%      43.131ms        65.98%      92.189ms      38.540us      28.55 Mb           0 b          2392  
                    aten::narrow         3.37%       4.715ms        13.75%      19.207ms       4.081us           0 b           0 b          4707  
                     aten::slice         8.82%      12.331ms        10.37%      14.492ms       3.079us           0 b           0 b          4707  
                    aten::select         8.06%      11.264ms        10.35%      14.456ms       2.014us           0 b           0 b          7176  
                     aten::empty         8.78%      12.264ms         8.78%      12.264ms       1.669us       7.76 Mb       7.76 Mb          7347  
                   aten::reshape         4.84%       6.756ms         6.01%       8.395ms       3.510us           0 b           0 b          2392  
                aten::as_strided         4.58%       6.395ms         4.58%       6.395ms       0.447us           0 b           0 b         14315  
                   aten::resize_         3.06%       4.282ms         3.06%       4.282ms       0.901us      29.66 Mb      29.66 Mb          4753  
                 aten::unsqueeze         2.18%       3.047ms         2.92%       4.086ms       1.683us           0 b           0 b          2428  
                      aten::view         2.36%       3.294ms         2.36%       3.294ms       0.672us           0 b           0 b          4905  
                    aten::addmm_         2.35%       3.284ms         2.35%       3.284ms       1.386us           0 b           0 b          2370  
                aten::batch_norm         0.06%      80.200us         1.16%       1.614ms      47.476us       5.39 Mb           0 b            34  
    aten::_batch_norm_impl_index         0.16%     224.583us         1.10%       1.534ms      45.117us       5.39 Mb           0 b            34  
