-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         5.04%       7.608ms        99.99%     150.852ms     150.852ms          -4 b    -172.85 Mb             1  
                     aten::conv2d         0.57%     857.098us        84.10%     126.874ms     818.540us      86.04 Mb           0 b           155  
                aten::convolution         0.25%     381.451us        83.53%     126.017ms     813.010us      86.04 Mb           0 b           155  
               aten::_convolution         0.49%     739.690us        83.28%     125.635ms     810.549us      86.04 Mb           0 b           155  
       aten::_convolution_nogroup         0.22%     335.558us        64.13%      96.749ms     957.913us      67.76 Mb           0 b           101  
                aten::thnn_conv2d         0.18%     267.734us        63.88%      96.375ms     954.208us      67.76 Mb           0 b           101  
        aten::thnn_conv2d_forward         1.20%       1.806ms        63.71%      96.107ms     951.557us      67.76 Mb           0 b           101  
                         aten::mm        61.29%      92.466ms        61.29%      92.466ms     915.505us           0 b           0 b           101  
         aten::mkldnn_convolution        18.53%      27.953ms        18.66%      28.146ms     521.227us      18.28 Mb           0 b            54  
                 aten::batch_norm         0.20%     305.051us         6.53%       9.855ms      63.583us      86.04 Mb           0 b           155  
     aten::_batch_norm_impl_index         0.37%     553.828us         6.33%       9.550ms      61.615us      86.04 Mb           0 b           155  
          aten::native_batch_norm         5.03%       7.591ms         5.90%       8.897ms      57.398us      86.04 Mb    -591.50 Kb           155  
                 aten::max_pool2d         0.00%       6.694us         1.87%       2.825ms       2.825ms     784.00 Kb      -1.53 Mb             1  
    aten::max_pool2d_with_indices         1.86%       2.812ms         1.87%       2.818ms       2.818ms       2.30 Mb           0 b             1  
                      aten::relu_         0.30%     447.462us         1.22%       1.848ms      12.236us           0 b           0 b           151  
                       aten::add_         0.95%       1.433ms         0.95%       1.433ms      28.667us           0 b           0 b            50  
                 aten::threshold_         0.93%       1.400ms         0.93%       1.400ms       9.273us           0 b           0 b           151  
                 aten::empty_like         0.42%     627.986us         0.87%       1.306ms       2.808us      86.61 Mb           0 b           465  
                      aten::empty         0.71%       1.065ms         0.71%       1.065ms       1.084us     104.90 Mb     104.90 Mb           983  
