-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference        11.39%       3.173ms        99.96%      27.857ms      27.857ms          -4 b     -42.00 Mb             1  
                     aten::conv2d         0.70%     193.860us        67.30%      18.755ms     334.912us      14.28 Mb           0 b            56  
                aten::convolution         0.59%     164.050us        66.60%      18.561ms     331.450us      14.28 Mb           0 b            56  
               aten::_convolution         1.50%     419.018us        66.02%      18.397ms     328.521us      14.28 Mb     -73.50 Kb            56  
       aten::_convolution_nogroup         0.81%     226.557us        50.34%      14.027ms     233.789us       9.58 Mb           0 b            60  
                aten::thnn_conv2d         0.64%     178.725us        49.45%      13.780ms     229.669us       9.58 Mb    -661.50 Kb            60  
        aten::thnn_conv2d_forward         5.16%       1.439ms        48.81%      13.601ms     226.690us      10.22 Mb           0 b            60  
                         aten::mm        39.53%      11.015ms        39.53%      11.015ms     305.980us           0 b           0 b            36  
         aten::mkldnn_convolution        13.03%       3.632ms        13.34%       3.718ms     195.668us       4.71 Mb           0 b            19  
                 aten::batch_norm         0.48%     134.554us         8.01%       2.231ms      39.839us      14.28 Mb           0 b            56  
     aten::_batch_norm_impl_index         0.71%     199.205us         7.52%       2.096ms      37.437us      14.28 Mb           0 b            56  
          aten::native_batch_norm         5.05%       1.409ms         6.67%       1.859ms      33.201us      14.28 Mb    -131.70 Kb            56  
                 aten::max_pool2d         0.02%       5.633us         4.60%       1.281ms       1.281ms     294.00 Kb    -588.00 Kb             1  
    aten::max_pool2d_with_indices         4.56%       1.270ms         4.58%       1.276ms       1.276ms     882.00 Kb           0 b             1  
                        aten::cat         0.23%      64.063us         2.19%     609.446us      35.850us       6.64 Mb           0 b            17  
                       aten::_cat         1.38%     384.690us         1.96%     545.383us      32.081us       6.64 Mb           0 b            17  
                 aten::contiguous         0.15%      42.144us         1.88%     522.763us      32.673us       6.57 Mb           0 b            16  
                 aten::empty_like         0.89%     247.780us         1.85%     515.693us       2.803us      20.98 Mb           0 b           184  
                     aten::narrow         0.40%     110.846us         1.78%     496.560us       4.821us           0 b           0 b           103  
