-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         6.10%     881.534us        99.93%      14.435ms      14.435ms          -4 b     -16.67 Mb             1  
                     aten::conv2d         0.60%      87.101us        54.13%       7.818ms     300.710us       9.88 Mb           0 b            26  
                aten::convolution         0.46%      66.623us        53.52%       7.731ms     297.360us       9.88 Mb           0 b            26  
               aten::_convolution         0.91%     131.347us        53.06%       7.665ms     294.798us       9.88 Mb           0 b            26  
       aten::_convolution_nogroup         0.49%      70.596us        41.32%       5.968ms     284.209us       4.68 Mb           0 b            21  
                aten::thnn_conv2d         0.40%      57.115us        40.78%       5.891ms     280.507us       4.68 Mb      -1.30 Mb            21  
        aten::thnn_conv2d_forward         4.54%     655.737us        40.39%       5.834ms     277.787us       5.98 Mb           0 b            21  
                 aten::max_pool2d         0.14%      19.998us        34.40%       4.969ms       1.656ms       1.26 Mb      -2.52 Mb             3  
    aten::max_pool2d_with_indices        34.13%       4.929ms        34.26%       4.949ms       1.650ms       3.78 Mb           0 b             3  
                     aten::addmm_        30.18%       4.360ms        30.18%       4.360ms     207.609us           0 b           0 b            21  
         aten::mkldnn_convolution        10.69%       1.544ms        10.83%       1.565ms     313.001us       5.20 Mb           0 b             5  
                        aten::cat         0.22%      31.804us         2.91%     420.656us      52.582us       5.53 Mb           0 b             8  
                       aten::_cat         2.24%     324.085us         2.69%     388.852us      48.606us       5.53 Mb           0 b             8  
                      aten::copy_         2.44%     352.241us         2.44%     352.241us      16.011us           0 b           0 b            22  
                      aten::relu_         0.44%      64.100us         1.95%     281.577us      10.830us           0 b           0 b            26  
                 aten::threshold_         1.51%     217.477us         1.51%     217.477us       8.365us           0 b           0 b            26  
                     aten::select         0.76%     110.457us         0.95%     136.739us       2.170us           0 b           0 b            63  
                  aten::unsqueeze         0.59%      84.978us         0.78%     112.213us       1.781us           0 b           0 b            63  
                      aten::empty         0.70%     101.361us         0.70%     101.361us       1.192us       5.20 Mb       5.20 Mb            85  
                    aten::resize_         0.58%      84.077us         0.58%      84.077us       2.156us      15.29 Mb      15.29 Mb            39  
