-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         1.21%     662.334us        99.98%      54.910ms      54.910ms          -4 b     -34.30 Mb             1  
                     aten::conv2d         0.07%      38.427us        42.59%      23.389ms       2.924ms      28.33 Mb           0 b             8  
                aten::convolution         0.06%      35.138us        42.52%      23.351ms       2.919ms      28.33 Mb           0 b             8  
               aten::_convolution         0.13%      69.756us        42.45%      23.316ms       2.914ms      28.33 Mb           0 b             8  
         aten::mkldnn_convolution        42.26%      23.210ms        42.33%      23.246ms       2.906ms      28.33 Mb           0 b             8  
                     aten::linear         0.02%      13.303us        30.93%      16.988ms       5.663ms      35.91 Kb           0 b             3  
                      aten::addmm        30.81%      16.919ms        30.86%      16.948ms       5.649ms      35.91 Kb      35.91 Kb             3  
                 aten::max_pool2d         0.08%      44.596us        23.78%      13.061ms       2.612ms       5.84 Mb     -11.68 Mb             5  
    aten::max_pool2d_with_indices        23.65%      12.989ms        23.70%      13.017ms       2.603ms      17.51 Mb           0 b             5  
                      aten::relu_         0.09%      49.138us         1.40%     769.052us      76.905us           0 b           0 b            10  
                 aten::threshold_         1.31%     719.914us         1.31%     719.914us      71.991us           0 b           0 b            10  
                      aten::empty         0.07%      40.880us         0.07%      40.880us       1.703us      28.33 Mb      28.33 Mb            24  
        aten::adaptive_avg_pool2d         0.00%       2.414us         0.05%      27.772us      27.772us      98.00 Kb           0 b             1  
                          aten::t         0.02%      11.847us         0.05%      26.470us       8.823us           0 b           0 b             3  
       aten::_adaptive_avg_pool2d         0.04%      22.983us         0.05%      25.358us      25.358us      98.00 Kb           0 b             1  
                    aten::resize_         0.04%      23.178us         0.04%      23.178us       2.107us      17.61 Mb      17.61 Mb            11  
                      aten::copy_         0.03%      19.137us         0.03%      19.137us       6.379us           0 b           0 b             3  
                  aten::transpose         0.02%      10.369us         0.03%      14.623us       4.874us           0 b           0 b             3  
                      aten::zeros         0.01%       6.312us         0.02%      10.713us      10.713us           4 b           0 b             1  
                aten::as_strided_         0.02%       9.951us         0.02%       9.951us       1.244us           0 b           0 b             8  
