-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         1.60%       1.328ms        99.99%      82.896ms      82.896ms          -4 b    -109.33 Mb             1  
                     aten::conv2d         0.08%      70.448us        54.56%      45.232ms       3.479ms      51.68 Mb           0 b            13  
                aten::convolution         0.07%      59.955us        54.47%      45.162ms       3.474ms      51.68 Mb           0 b            13  
               aten::_convolution         0.13%     111.140us        54.40%      45.102ms       3.469ms      51.68 Mb           0 b            13  
         aten::mkldnn_convolution        54.19%      44.928ms        54.27%      44.991ms       3.461ms      51.68 Mb           0 b            13  
                     aten::linear         0.02%      15.377us        20.49%      16.986ms       5.662ms      35.91 Kb           0 b             3  
                      aten::addmm        20.40%      16.915ms        20.44%      16.945ms       5.648ms      35.91 Kb      35.91 Kb             3  
                 aten::max_pool2d         0.04%      31.114us        15.87%      13.161ms       2.632ms       5.84 Mb     -11.68 Mb             5  
    aten::max_pool2d_with_indices        15.80%      13.096ms        15.84%      13.130ms       2.626ms      17.51 Mb           0 b             5  
                 aten::batch_norm         0.05%      45.457us         5.66%       4.692ms     360.885us      51.68 Mb           0 b            13  
     aten::_batch_norm_impl_index         0.08%      63.249us         5.60%       4.646ms     357.389us      51.68 Mb           0 b            13  
          aten::native_batch_norm         5.37%       4.453ms         5.51%       4.572ms     351.685us      51.68 Mb     -33.00 Kb            13  
                      aten::relu_         0.08%      67.413us         1.76%       1.456ms      97.096us           0 b           0 b            15  
                 aten::threshold_         1.68%       1.389ms         1.68%       1.389ms      92.602us           0 b           0 b            15  
                      aten::empty         0.16%     129.974us         0.16%     129.974us       1.605us     103.39 Mb     103.39 Mb            81  
                 aten::empty_like         0.07%      61.217us         0.14%     118.760us       3.045us      51.71 Mb           0 b            39  
                    aten::resize_         0.03%      28.988us         0.03%      28.988us       2.635us      17.61 Mb      17.61 Mb            11  
        aten::adaptive_avg_pool2d         0.00%       2.213us         0.03%      26.844us      26.844us      98.00 Kb           0 b             1  
                          aten::t         0.02%      12.698us         0.03%      26.185us       8.728us           0 b           0 b             3  
