-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference         2.90%       3.622ms        99.99%     124.765ms     124.765ms          -4 b    -110.64 Mb             1  
                     aten::conv2d         0.41%     506.895us        88.14%     109.980ms       2.075ms      54.93 Mb           0 b            53  
                aten::convolution         0.17%     217.014us        87.73%     109.473ms       2.066ms      54.93 Mb           0 b            53  
               aten::_convolution         0.37%     466.655us        87.56%     109.256ms       2.061ms      54.93 Mb           0 b            53  
       aten::_convolution_nogroup         0.13%     161.738us        51.43%      64.170ms       1.945ms      38.66 Mb           0 b            33  
                aten::thnn_conv2d         0.11%     141.554us        51.29%      63.992ms       1.939ms      38.66 Mb           0 b            33  
        aten::thnn_conv2d_forward         0.68%     847.124us        51.17%      63.850ms       1.935ms      38.66 Mb           0 b            33  
                         aten::mm        49.76%      62.085ms        49.76%      62.085ms       1.881ms           0 b           0 b            33  
         aten::mkldnn_convolution        35.54%      44.345ms        35.76%      44.619ms       2.231ms      16.27 Mb           0 b            20  
                 aten::batch_norm         0.13%     162.627us         4.56%       5.691ms     107.376us      54.93 Mb           0 b            53  
     aten::_batch_norm_impl_index         0.18%     227.162us         4.43%       5.528ms     104.308us      54.93 Mb           0 b            53  
          aten::native_batch_norm         3.56%       4.442ms         4.21%       5.257ms      99.190us      54.93 Mb    -266.50 Kb            53  
                 aten::max_pool2d         0.00%       5.762us         2.48%       3.090ms       3.090ms     784.00 Kb      -1.53 Mb             1  
    aten::max_pool2d_with_indices         2.46%       3.075ms         2.47%       3.084ms       3.084ms       2.30 Mb           0 b             1  
                       aten::add_         0.83%       1.038ms         0.83%       1.038ms      64.887us           0 b           0 b            16  
                      aten::relu_         0.17%     214.161us         0.74%     928.388us      18.947us           0 b           0 b            49  
                      aten::empty         0.73%     908.419us         0.73%     908.419us       2.696us      71.47 Mb      71.47 Mb           337  
                 aten::empty_like         0.21%     260.592us         0.65%     815.348us       5.128us      55.19 Mb           0 b           159  
                 aten::threshold_         0.57%     714.227us         0.57%     714.227us      14.576us           0 b           0 b            49  
