

 -- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  model_inference        28.59%       5.171ms        99.81%      18.052ms      18.052ms          -4 b         -20 b       2.78 Gb    -173.48 Mb             1  
                     aten::conv2d         0.63%     114.325us        61.04%      11.041ms     552.037us           0 b           0 b       2.37 Gb           0 b            20  
                aten::convolution         0.66%     119.353us        60.41%      10.926ms     546.321us           0 b           0 b       2.37 Gb           0 b            20  
               aten::_convolution         1.59%     287.663us        59.75%      10.807ms     540.353us           0 b           0 b       2.37 Gb           0 b            20  
          aten::cudnn_convolution        54.05%       9.776ms        54.68%       9.890ms     494.518us           0 b           0 b       2.37 Gb       2.37 Gb            20  
                 aten::max_pool2d         0.14%      25.118us         5.52%     999.240us     999.240us           0 b           0 b     588.00 Mb           0 b             1  
    aten::max_pool2d_with_indices         0.40%      72.427us         5.39%     974.122us     974.122us           0 b           0 b     588.00 Mb           0 b             1  
                    aten::resize_         5.17%     935.731us         5.17%     935.731us      21.761us           0 b           0 b     588.98 Mb     588.98 Mb            43  
                       aten::add_         2.80%     507.238us         2.80%     507.238us      18.116us           0 b           0 b           0 b           0 b            28  
                      aten::relu_         0.94%     170.903us         2.05%     370.459us      21.792us           0 b           0 b           0 b           0 b            17  
                     aten::linear         0.25%      44.921us         1.35%     244.784us     244.784us           0 b           0 b    1000.00 Kb           0 b             1  
                    aten::reshape         0.31%      55.571us         1.29%     233.402us      11.670us           0 b           0 b           0 b           0 b            20  
                 aten::threshold_         1.10%     199.556us         1.10%     199.556us      11.739us           0 b           0 b           0 b           0 b            17  
                       aten::view         1.02%     185.189us         1.02%     185.189us       8.819us           0 b           0 b           0 b           0 b            21  
                      aten::addmm         0.79%     142.466us         0.86%     154.770us     154.770us           0 b           0 b    1000.00 Kb           0 b             1  
                      aten::empty         0.61%     110.945us         0.61%     110.945us       4.267us          20 b          20 b     695.00 Kb     695.00 Kb            26  
        aten::adaptive_avg_pool2d         0.19%      34.372us         0.55%      98.983us      98.983us           0 b           0 b     512.00 Kb           0 b             1  
